STT,MaKho,TenKho,kho,MaThan,TenThan,coal,TonCK,ton,ttcoApp,GhiChu
"1","39","Hồ 1","Hồ 1","Bùn tuyển 3B","Bùn tuyển 3B","Bùn tuyển 3B","21566.8","21566.8","21566.8","LOAI: TenKho la Ho 1, khong phai Kho 39"
"2","01","Kho 1","Kho 1","Cục xô 1C","Cục xô 1C","Cục xô 1C","1052.65","1052.65","1052.65","KIEM_TRA"
"6","71","Kho 1-T4","Kho 1-T4","Cám 6a.1","Cám 6a.1","Cám 6a.1","85901.99","85901.99","85901.99","KIEM_TRA"
"7","71","Kho 1-T4","Kho 1-T4","Cục xô 1C","Cục xô 1C","Cục xô 1C","1209","1209","1209","KIEM_TRA"
"27","10","Kho 10","Kho 10","Cám 5a.1","Cám 5a.1","Cám 5a.1","1435.21","1435.21","1435.21","KIEM_TRA"
"28","10","Kho 10","Kho 10","Cám 5b.1","Cám 5b.1","Cám 5b.1","442","442","442","KIEM_TRA"
"29","10","Kho 10","Kho 10","Cám 5a.14","Cám 5a.14","Cám 5a.14","291","291","291","KIEM_TRA"
"30","11","Kho 11","Kho 11","Cám 4a.1","Cám 4a.1","Cám 4a.1","37671.49","37671.49","37671.49","KIEM_TRA"
"31","12","Kho 12","Kho 12","Cám 3b.1","Cám 3b.1","Cám 3b.1","26710.64","26710.64","26710.64","KIEM_TRA"
"32","13","Kho 13","Kho 13","Cám 3a.1","Cám 3a.1","Cám 3a.1","18297.95","18297.95","18297.95","KIEM_TRA"
"33","15","Kho 15","Kho 15","Cục 5a.1","Cục 5a.1","Cục 5a.1","34260.8","34260.8","34260.8","KIEM_TRA"
"34","16","Kho 16","Kho 16","Cục 5a.1","Cục 5a.1","Cục 5a.1","13252.46","13252.46","13252.46","KIEM_TRA"
"35","17","Kho 17","Kho 17","Cám 1","Cám 1","Cám 1","50217.05","50217.05","50217.05","KIEM_TRA"
"36","17","Kho 17","Kho 17","Cám 2a.1","Cám 2a.1","Cám 2a.1","19210.6","19210.6","19210.6","KIEM_TRA"
"37","18","Kho 18","Kho 18","Cám 3b.1","Cám 3b.1","Cám 3b.1","14983.58","14983.58","14983.58","KIEM_TRA"
"38","19","Kho 19","Kho 19","Cám 3b.1","Cám 3b.1","Cám 3b.1","15242.09","15242.09","15242.09","KIEM_TRA"
"64","28","Kho 39","Kho 39","Than Anthracite Lào Tầu TRƯỜNG NGUYÊN STAR","Than Anthracite Lào Tầu TRƯỜNG NGUYÊN STAR","Than Anthracite Lào Tầu TRƯỜNG NGUYÊN STAR","9.13","9.13","9.13","KIEM_TRA"
"65","28","Kho 39","Kho 39","Than NK","Than NK","Than NK","10128.91","10128.91","10128.91","KIEM_TRA"
