MaKho,TenKho,TenThan,TonCK,IsNhomTongHop,NhomTongHopLoai
"39","Hồ 1","Bùn tuyển 3B","21566.8","",""
"01","Kho 1","Cục xô 1C","1052.65","",""
"71","Kho 1-T4","Cám 6a.1","85901.99","",""
"71","Kho 1-T4","Cục xô 1C","1209","",""
"10","Kho 10","Cám 5a.1","1435.21","",""
"10","Kho 10","Cám 5b.1","442","",""
"10","Kho 10","Cám 5a.14","291","",""
"11","Kho 11","Cám 4a.1","37671.49","",""
"12","Kho 12","Cám 3b.1","26710.64","",""
"13","Kho 13","Cám 3a.1","18297.95","",""
"15","Kho 15","Cục 5a.1","34260.8","",""
"16","Kho 16","Cục 5a.1","13252.46","",""
"17","Kho 17","Cám 1","50217.05","",""
"17","Kho 17","Cám 2a.1","19210.6","",""
"18","Kho 18","Cám 3b.1","14983.58","",""
"19","Kho 19","Cám 3b.1","15242.09","",""
"28","Kho 39","Than Anthracite Lào Tầu TRƯỜNG NGUYÊN STAR","9.13","",""
"28","Kho 39","Than NK","10128.91","",""
