MaKho,TenKho,MaThan,TenThan,TonCK,TonDK,NhapTK,XuatTK,TenThanGoc,ttinKho,ttinThan
"39","Hồ 1","Bùn tuyển 3B","Bùn tuyển 3B","21566.8","21566.8","0","0","Bùn tuyển 3B","145","23.04"
"01","Kho 1","Cục xô 1C","Cục xô 1C","1052.65","509.95","3660","3117.3","Cục xô 1C","101","2101.03"
"K04","Tuyển 1","Cám đá","Cám đá","20","20","5400","5400","Cám đá","204","25.01"
"K04","Tuyển 1","Than NK","Than NK","413.98","0","1343.91","929.93","Than NK (Úc - Tầu MV GENERA QUEEN)","204","4.298"
"K04","Tuyển 1","Than nguyên khai","Than nguyên khai","818.53","0","27031.24","26212.71","Than nguyên khai","204","5.01"
"71","Kho 1-T4","Cám 6a.1","Cám 6a.1","85901.99","83251.99","97901","95251","Cám 6a.1","145","1211.01"
"71","Kho 1-T4","Cục xô 1C","Cục xô 1C","1209","1209","0","0","Cục xô 1C","145","2101.03"
"02","Kho 2","Cục 5a.1","Cục 5a.1","7937.86","7937.86","0","0","Cục 5a.1","102","1105.01"
"72","Kho 2-T4","Cục don 8C","Cục don 8C","5877.1","5027.1","850","0","Cục don 8C","146","2102.09"
"72","Kho 2-T4","Đá thải","Đá thải","5054.85","4447.39","976","368.54","Đá thải","146","27.01"
"72","Kho 2-T4","Than nguyên khai","Than nguyên khai","754.03","6241.77","20620.26","26108","Than nguyên khai","146","5.01"
"03","Kho 3","Cục 4a.1","Cục 4a.1","1507.63","1507.63","0","0","Cục 4a.1","103","1104.01"
"K06","Tuyển 3","Than nguyên khai","Than nguyên khai","100","0","46252.29","46152.29","Than nguyên khai","306","5.01"
"73","Kho 3-T4","Than nguyên khai","Than nguyên khai","3780.16","11629.16","0","7849","Than nguyên khai","147","5.01"
"04","Kho 4","Cục 4a.1","Cục 4a.1","11505.17","11505.17","0","0","Cục 4a.1","104","1104.01"
"46","Kho than bùn số 4","Than nguyên khai","Than nguyên khai","225926.39","225926.39","0","0","Than nguyên khai","161","5.01"
"74","Kho 4-T4","Cám 6a.1","Cám 6a.1","27914.54","27914.54","0","0","Cám 6a.1","148","1211.01"
"05","Kho 5","Cục 4a.2","Cục 4a.2","9933.52","12610.42","3877","6553.9","Cục 4a.2","105","1104.02"
"47","Kho than bùn số 5","Than nguyên khai","Than nguyên khai","259460.55","259460.55","0","0","Than nguyên khai","162","5.01"
