STT_JSON,MaKho,TenKho,MaThan,TenThan,TonCK,Keys
"1","39","Hồ 1","Bùn tuyển 3B","Bùn tuyển 3B","21566.8","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"2","01","Kho 1","Cục xô 1C","Cục xô 1C","1052.65","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"3","K04","Tuyển 1","Cám đá","Cám đá","20","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"4","K04","Tuyển 1","Than NK","Than NK","413.98","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"5","K04","Tuyển 1","Than nguyên khai","Than nguyên khai","818.53","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"6","71","Kho 1-T4","Cám 6a.1","Cám 6a.1","85901.99","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"7","71","Kho 1-T4","Cục xô 1C","Cục xô 1C","1209","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"8","02","Kho 2","Cục 5a.1","Cục 5a.1","7937.86","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"9","72","Kho 2-T4","Cục don 8C","Cục don 8C","5877.1","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"10","72","Kho 2-T4","Đá thải","Đá thải","5054.85","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"11","72","Kho 2-T4","Than nguyên khai","Than nguyên khai","754.03","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"12","03","Kho 3","Cục 4a.1","Cục 4a.1","1507.63","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"13","K06","Tuyển 3","Than nguyên khai","Than nguyên khai","100","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"14","73","Kho 3-T4","Than nguyên khai","Than nguyên khai","3780.16","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"15","04","Kho 4","Cục 4a.1","Cục 4a.1","11505.17","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
